len,ID,Date,Source,Likes,RTs,SA,Text,location
135,sylvainfaust,2017-12-11,Hootsuite,0,1,0,b'OPINION: #CSeries deal presents wider opportunity.  #Bombardier #Boeing #BackBombardier #UK #Belfast #London\xe2\x80\xa6 https://t.co/sNt8eJAiua',
142,syedbilalmushee,2017-12-11,Twitter Web Client,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',karachi
91,FHavg,2017-12-11,Twitter Web Client,0,0,0,b'OPINION: #CSeries deal presents wider opportunity https://t.co/Z47Ifz8bre via @FlightGlobal',Singapore
142,bouroux,2017-12-11,Twitter Web Client,0,3,1,b'RT @flightmode_: My new favourite aircraft. The #CSeries is awsome! And @airBaltic has liftet the comfort level bigtime compared to the 737\xe2\x80\xa6',Montreal  Canada
142,const_shibalkov,2017-12-11,Twitter Web Client,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',"Москва, Россия"
72,DoctorAviation,2017-12-10,LinkedIn,0,0,0,b'OPINION: CSeries deal presents wider opportunity https://t.co/NEEGuV8tYk',Canada
141,DoctorAviation,2017-12-10,LinkedIn,0,0,-1,"b""Of course NOT ! its about Bombardier 'dumping' the CSeries 42% BELOW cost of production, that is NOT fair trade or\xe2\x80\xa6 https://t.co/97kE3rUvSh""",Canada
142,vasilrambi,2017-12-10,Twitter Web Client,0,3,1,b'RT @flightmode_: My new favourite aircraft. The #CSeries is awsome! And @airBaltic has liftet the comfort level bigtime compared to the 737\xe2\x80\xa6',"Richmond Hill, Toronto & Montréal "
142,36_fcb,2017-12-10,Twitter for Android,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',SWITZERLAND
147,jesusrg1,2017-12-10,Twitter for Android,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'","Montreal, QC, Canada"
142,gva_avgeek,2017-12-10,Twitter for iPhone,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',GVA/LSGG
134,bouroux,2017-12-10,Twitter Web Client,1,0,1,b'This is a NEW #TAXFREE #IMPORTED  #Boeing #B737MAX 8 training Flight #AC7096 by #aircanada #Toronto #ottawa\xe2\x80\xa6 https://t.co/BTpmI0atUe',Montreal  Canada
142,bouroux,2017-12-10,Twitter Web Client,0,2,1,b'RT @sylvainfaust: This is a NEW #TAXFREE #IMPORTED  #Boeing #B737MAX 8 training Flight #AC7096 by #aircanada #Toronto #ottawa #mirabel #mon\xe2\x80\xa6',Montreal  Canada
143,AvEcuadorRT,2017-12-10,IFTTT,0,0,0,"b'RT @goaviationvideo: Bombardier CSeries Presentation at the Dubai Air Show -- Airframe, Cabine &amp; Cockpit in HD !\xe2\x80\xa6 https://t.co/utQCQkuEAx'",Ecuador
146,avgeekretweeter,2017-12-10,RoundTeam,0,1,0,"b'RT @goaviationvideo: Bombardier CSeries Presentation at the Dubai Air Show -- Airframe, Cabine &amp; Cockpit in HD ! https://t.co/YB78qQiihP #a\xe2\x80\xa6'",Read our daily updates at:
127,goaviationvideo,2017-12-10,goaviationvideo app,1,1,0,"b'Bombardier CSeries Presentation at the Dubai Air Show -- Airframe, Cabine &amp; Cockpit in HD ! https://t.co/YB78qQiihP #avgeek'",
141,flightmode_,2017-12-10,Twitter for iPhone,19,3,1,b'My new favourite aircraft. The #CSeries is awsome! And @airBaltic has liftet the comfort level bigtime compared to\xe2\x80\xa6 https://t.co/u0seIb1Mja',Scandinavia 
142,bouroux,2017-12-10,Twitter Web Client,0,6,1,b'RT @yulplanespotter: The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPv\xe2\x80\xa6',Montreal  Canada
142,ilovecseries,2017-12-10,Twitter Web Client,0,2,1,"b'RT @sylvainfaust: #CSeries Delivery Update and the Famous ""Little"" part of Fuselage made in #China. #bombardier #airbus #boeing #CS300 #SWI\xe2\x80\xa6'",
120,yulplanespotter,2017-12-10,Twitter Web Client,42,6,1,b'The #Cseries before and after shot! Quite the difference\nLooks pretty dam nice!\n@FlySWISS #CS300 https://t.co/fLwkUVPvdw',"Montréal, Québec"
142,theFliegerFaust,2017-12-10,Twitter for iPad,0,2,1,b'RT @sylvainfaust: This is a NEW #TAXFREE #IMPORTED  #Boeing #B737MAX 8 training Flight #AC7096 by #aircanada #Toronto #ottawa #mirabel #mon\xe2\x80\xa6',
134,sylvainfaust,2017-12-10,Twitter for iPad,2,2,1,b'This is a NEW #TAXFREE #IMPORTED  #Boeing #B737MAX 8 training Flight #AC7096 by #aircanada #Toronto #ottawa\xe2\x80\xa6 https://t.co/bzae045KYS',
150,anandvenugop,2017-12-10,Twitter for Android,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',"Los Angeles, CA"
90,NewsAirbus,2017-12-10,Airbus News,0,0,0,b'OPINION: CSeries deal presents wider opportunity - @Flightglobal : https://t.co/tia3t54sgj',Toulouse
139,TutorspointUSA,2017-12-10,TweetDeck,2,0,0,b'https://t.co/qbM3EJWSmp\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/z77gpIbmc7',"University Park, FL"
139,TutorspointAu,2017-12-10,TweetDeck,1,0,0,b'https://t.co/mptrMnobmT\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/3P0gvUwtem',Australia
139,stat_assignment,2017-12-10,TweetDeck,1,0,0,b'https://t.co/IGvpktbukW\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/pePYtH6WLn',
139,statisticsbook,2017-12-10,TweetDeck,2,0,0,b'https://t.co/4mBkFiPiJU\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/l3tabjiCaz',
139,SAS_Statistics,2017-12-10,TweetDeck,2,0,0,b'https://t.co/Q12lRrbzqQ\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/Dl8e5i3DKp',Australia
139,Mathtutorspoint,2017-12-10,TweetDeck,2,0,0,b'https://t.co/hn05Nmy5iZ\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/3vI1ElS73k',"Massachusetts, USA"
139,GoogleTrends16,2017-12-10,TweetDeck,1,0,0,b'https://t.co/Ybec23yNnl\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/n2oydwMNUC',
139,4000WordEssay,2017-12-10,TweetDeck,1,0,0,b'https://t.co/Z9MYbnJXmt\n\nGet Computer Science Assignment Help service\n#Java #Matlab #Programming assignment Help\xe2\x80\xa6 https://t.co/Y1pvFKfDNH',
147,Abdessalam73840,2017-12-10,Twitter Web Client,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'","Région de Paris, France"
147,Hamoud737,2017-12-10,Twitter Web Client,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",United Arab Emirates
147,edelweiss330,2017-12-10,Twitter for iPad,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",Italy-Milano
147,bouroux,2017-12-10,Twitter Web Client,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",Montreal  Canada
114,blindedbtflash,2017-12-10,Tweetbot for iΟS,0,0,0,"b'The #Boeing gripe involves the #CSeries, not the #Q400, and that\xe2\x80\x99s not built in Toronto. https://t.co/hrqyBraaAX'","Toronto, ON"
150,pesbo,2017-12-10,Twitter for iPhone,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Ottawa
147,AirplaneGuy2013,2017-12-09,Twitter for Android,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",Flight Operations Center
133,AirplaneGuy2013,2017-12-09,Twitter for Android,0,2,0,b'RT @EconomyBeyond: The plane that has Boeing in Sueball city - the Bombardier CSeries https://t.co/rvqBsko6IL https://t.co/bDudc40EwI',Flight Operations Center
147,Abaza738,2017-12-09,Twitter for Android,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",FL390
147,EmperorSessle44,2017-12-09,Twitter for iPad,0,9,0,"b'RT @AlexInAir: I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the future RJ\xe2\x80\xa6'",
148,AlexInAir,2017-12-09,Twitter for iPhone,21,9,0,"b'I joined @RoyalJordanian CEO in #Amman \xf0\x9f\x87\xaf\xf0\x9f\x87\xb4 this week. Mr Pichler is assessing A320neo, 737 MAX and CSeries for the f\xe2\x80\xa6 https://t.co/yU7pXKtsqe'","Usually at 38,000ft / London"
150,MPCelina,2017-12-09,Twitter for iPhone,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',"Whitby, ON"
66,RogerCantorSr,2017-12-09,Twitter for iPhone,0,0,1,b'@ec_minister @Bombardier How many CSeries have they sold in China?',Canada
150,CGLRGreatlakes,2017-12-09,Twitter for Android,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',
150,KSP_Libs,2017-12-09,Twitter for Android,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Kildonan-St. Paul Winnipeg MB
150,maxemc,2017-12-09,Twitter for Android,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',
150,johangreg,2017-12-09,Twitter for iPhone,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Calgary #yyc #yyccentre
150,ec_minister,2017-12-09,Hootsuite,9,6,1,b'#CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries a\xe2\x80\xa6 https://t.co/IgbxRIWWEX',Canada
150,myhsemobile,2017-12-09,Twitter Web Client,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',"Alberta, Canada"
150,johangreg,2017-12-09,Twitter for iPhone,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Calgary #yyc #yyccentre
146,PauloSergioMDC,2017-12-09,Gravity Forever,0,0,0,b'@AviationWeek @Bombardier @Boeing Would we be having a different discussion about @Bombardier &amp; its #CSeries had Ot\xe2\x80\xa6 https://t.co/bDrIKRUsYP',"011, +27"
144,PauloSergioMDC,2017-12-09,Gravity Forever,0,0,0,b'A subsidy trade dispute piece is making the rounds on @AviationWeek\n\nWhat is the difference between the Qu\xc3\xa9b\xc3\xa9cois b\xe2\x80\xa6 https://t.co/1opiU8shdJ',"011, +27"
150,SylvainLevesq14,2017-12-09,Twitter for iPad,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',
142,AirportWebcams,2017-12-09,TweetDeck,11,1,1,"b'SWISS CSeries CS300 HB-JCE just taxied out at Manchester on #LX395 to Zurich. First visit of type to MAN, replacing\xe2\x80\xa6 https://t.co/18nKx7QXZ0'",
150,KSP_Libs,2017-12-09,Twitter for Android,0,6,1,b'RT @ec_minister: #CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries aircraft\xe2\x80\xa6',Kildonan-St. Paul Winnipeg MB
150,ec_minister,2017-12-09,Media Studio,9,6,1,b'#CanadaInChina \xe2\x80\x93 @Bombardier is a \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6 company specializing in reducing pollution through their innovative #CSeries a\xe2\x80\xa6 https://t.co/2OtDDQKmy5',Canada
149,berlinplane,2017-12-09,Twitter for Android,0,1,0,b'RT @aviation_graz: \xe2\x9e\xa1 @FlySWISS\n\xe2\x9c\x88 @BBD_Aircraft CS100 HB-JBA\n\xf0\x9f\x8c\x8d landing at #Graz Airport\n#CSeries #CS100 #FlySwiss #LX1512 #AviationVideos #G\xe2\x80\xa6',Berlin
133,bouroux,2017-12-09,Twitter Web Client,0,2,0,b'RT @EconomyBeyond: The plane that has Boeing in Sueball city - the Bombardier CSeries https://t.co/rvqBsko6IL https://t.co/bDudc40EwI',Montreal  Canada
114,EconomyBeyond,2017-12-09,IFTTT,12,2,0,b'The plane that has Boeing in Sueball city - the Bombardier CSeries https://t.co/rvqBsko6IL https://t.co/bDudc40EwI',"Birmingham, UK"
112,Marina_kanaria,2017-12-09,Twitter for iPhone,0,4,0,b'RT @airworldtoday: #AirWorldToday: AeroM?xico considering CSeries jets for fleet renewal https://t.co/z7DvFTCsbO',España
135,techjollof,2017-12-09,Tweet Old Post,0,0,0,b'Airbus takes control of Bombardier CSeries in rebuff to U.S. threat MONTREAL/PARIS (Reuters) - Airbus SE agreed https://t.co/qiFCHSRb1a',Planet Earth
134,buzzort,2017-12-09,buzzort,0,0,1,b'New post (Airbus turmoil overshadows bid to rescue Bombardier\xe2\x80\x99s CSeries program) has been published on  -\xe2\x80\xa6 https://t.co/anoWKNWKT5',
142,PierreBus380,2017-12-09,Twitter Web Client,0,0,1,b'This plane sure is keeping us all busy ;)\nLook at the CSeries vs 737 in the line up. I know which one I like better\xe2\x80\xa6 https://t.co/3ziDhJprez',
118,yellowbao,2017-12-09,Tweetbot for iΟS,0,5,1,b'RT @cervelo: Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',shanghai
141,travelingbug123,2017-12-08,Twitter for iPad,0,0,0,b'@globeandmail @globebusiness Canada should reach out to #Mexico and tell them f you want our support in #NAFTA you\xe2\x80\xa6 https://t.co/SU7eXnrsjq',Canada
118,toyokot,2017-12-08,Twitter for Android,0,5,1,b'RT @cervelo: Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',日本 東京
118,nealhunt123,2017-12-08,Twitter for iPhone,0,5,1,b'RT @cervelo: Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',sheffield
140,Mark3Ds,2017-12-08,Twitter Web Client,0,0,0,b'@NavdeepSBains @cafreeland @NickVanPraet @CommerceGov @SecretaryRoss Meanwhile #Boeing concedes deal for 18 #RCAF\xe2\x80\xa6 https://t.co/VMfAvbvwEW',"Ottawa, Ontario"
143,Mark3Ds,2017-12-08,Twitter Web Client,1,0,0,"b'Take that #Boeing, from former editor-in-chief of Aviation Week &amp; Space Technology--#Bombardier #CSeries #Airbus\xe2\x80\xa6 https://t.co/hA4A71VbOF'","Ottawa, Ontario"
140,MrPasqualino,2017-12-08,Twitter for BlackBerry®,0,0,-1,"b""@boeing Still want a romance w/Canada? You're like the obsessed jealous boyfriend who just can't take no for an answer! #CallDrPhil #CSERIES""","Montreal, Canada"
86,AirplaneGuy2013,2017-12-08,Twitter for Android,0,6,0,b'RT @Bombardier: At the world\xe2\x80\x99s edge. #WingWednesday #CSeries https://t.co/pX1Az8PLfc',Flight Operations Center
142,theFliegerFaust,2017-12-08,Twitter Web Client,0,1,1,b'RT @sylvainfaust: ICYMI - #CSeries - Close to nearly tripling orders thanks to a big contract with #Qatar Airways - The Times #UK - #Bombar\xe2\x80\xa6',
140,sylvainfaust,2017-12-08,Twitter Web Client,7,1,1,b'ICYMI - #CSeries - Close to nearly tripling orders thanks to a big contract with #Qatar Airways - The Times #UK -\xe2\x80\xa6 https://t.co/ICtoWrz8Za',
144,caribb,2017-12-08,Twitter for iPhone,0,0,-1,b'Base on recent actions they\xe2\x80\x99ll probably just litigate them to death. So a strategy of putting Space X into legal he\xe2\x80\xa6 https://t.co/AiiCb5CUXD',"Montréal, Canada"
72,Roger_ramjet1,2017-12-08,Twitter Web Client,1,0,0,b'OPINION: CSeries deal presents wider opportunity https://t.co/NQ9dfos9xZ',belfast  montreal & toronto
118,JorisNAM,2017-12-08,Twitter for iPhone,0,5,1,b'RT @cervelo: Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',Windhoek
105,Pt_Credit_voter,2017-12-08,Twitter for iPhone,0,0,-1,"b""@JerryPDias @UniforTheUnion @CTV_PowerPlay We're supposed to reward @Boeing for their #Cseries complaint?""",
118,OopsTryagain12,2017-12-08,Twitter for Windows,0,5,1,b'RT @cervelo: Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',"Buenos Aires, Argentina"
146,PierreBus380,2017-12-08,Twitter Web Client,0,0,1,"b'Article says ""@Airbus is almost certainly working on its own advanced wings &amp; already has its own centres of excell\xe2\x80\xa6 https://t.co/THPC3wODSa'",
105,cervelo,2017-12-08,Falcon Social Media Management ,26,5,1,b'Going the distance never felt so fast.\n#Cseries #C3 #C5 \n\nhttps://t.co/fqrDYCldxX https://t.co/C5Vw19qh6e',Global
141,Clint009,2017-12-08,Twitter Web Client,0,13,1,"b'RT @ReutersMontreal: #Canada scraps plan to buy 18 new Boeing fighter jets, amid deepening trade dispute over Bombardier #CSeries: sources\xe2\x80\xa6'",Canada
143,Clint009,2017-12-08,Twitter Web Client,0,10,0,b'RT @BoycottBoeing: Here\xe2\x80\x99s how to make an impact and support #CSeries: Choose @JetBlue not @SouthwestAir; Choose @AirCanada not @Westjet to\xe2\x80\xa6',Canada
142,AirplaneGuy2013,2017-12-08,Twitter for Android,0,4,0,b'RT @sylvainfaust: OPINION: #CSeries deal presents wider #opportunity via @FlightGlobal  #avgeek #Boeing #Bombardier #Airbus #Embraer #cdnpo\xe2\x80\xa6',Flight Operations Center
142,AirplaneGuy2013,2017-12-08,Twitter for Android,0,4,0,"b'RT @sylvainfaust: Opinion: Enough With the Hypocrisy, #Boeing via @AviationWeek\n #Bombardier #cseries #airbus #embraer #usa #NAFTA #trade #\xe2\x80\xa6'",Flight Operations Center
142,TheRealMrPirate,2017-12-08,Twitter Web Client,0,4,0,"b'RT @sylvainfaust: Opinion: Enough With the Hypocrisy, #Boeing via @AviationWeek\n #Bombardier #cseries #airbus #embraer #usa #NAFTA #trade #\xe2\x80\xa6'","Davenport, FL / Toronto, CAN"
142,theFliegerFaust,2017-12-08,Twitter Web Client,0,4,0,b'RT @sylvainfaust: OPINION: #CSeries deal presents wider #opportunity via @FlightGlobal  #avgeek #Boeing #Bombardier #Airbus #Embraer #cdnpo\xe2\x80\xa6',
142,theFliegerFaust,2017-12-08,Twitter Web Client,0,4,0,"b'RT @sylvainfaust: Opinion: Enough With the Hypocrisy, #Boeing via @AviationWeek\n #Bombardier #cseries #airbus #embraer #usa #NAFTA #trade #\xe2\x80\xa6'",
139,sylvainfaust,2017-12-08,Twitter Web Client,7,4,0,"b'Opinion: Enough With the Hypocrisy, #Boeing via @AviationWeek\n #Bombardier #cseries #airbus #embraer #usa #NAFTA\xe2\x80\xa6 https://t.co/ODtwfiakSx'",
142,AvEcuadorRT,2017-12-08,IFTTT,2,1,0,b'RT @sylvainfaust: OPINION: #CSeries deal presents wider #opportunity via @FlightGlobal  #avgeek #Boeing #Bombardier\xe2\x80\xa6 https://t.co/XgSZnqBokR',Ecuador
142,avgeekretweeter,2017-12-08,RoundTeam,0,4,0,b'RT @sylvainfaust: OPINION: #CSeries deal presents wider #opportunity via @FlightGlobal  #avgeek #Boeing #Bombardier #Airbus #Embraer #cdnpo\xe2\x80\xa6',Read our daily updates at:
141,sylvainfaust,2017-12-08,Twitter Web Client,5,4,0,b'OPINION: #CSeries deal presents wider #opportunity via @FlightGlobal  #avgeek #Boeing #Bombardier #Airbus #Embraer\xe2\x80\xa6 https://t.co/zOnKIXXABT',
120,NoelGibsonUnite,2017-12-08,Twitter Lite,0,5,0,b'RT @GayePartridge: Please sign our petition to have the tariff removed from the cseries aircraft https://t.co/70cajbtY5r',"Belfast, Northern Ireland"
121,bouroux,2017-12-08,Twitter Web Client,0,1,0,b'RT @FiguerasChris: OPINION: CSeries deal presents wider opportunity      \nhttps://t.co/tdRVzMRYE3 https://t.co/g7JK9WIVxs',Montreal  Canada
142,flyhellas,2017-12-08,Twitter Web Client,1,0,1,"b'@robzter_1 As ever even with plenty runway remaining haha. \nSame here, they start up again May1 2018 (hopefully uti\xe2\x80\xa6 https://t.co/f0tzYYhWmL'",Alnwick Northumberland England
82,MarkBeacham,2017-12-08,IFTTT,0,0,0,b'Aviation: OPINION: CSeries deal presents wider opportunity https://t.co/EQ7kCY7CEP',
102,FiguerasChris,2017-12-08,IFTTT,1,1,0,b'OPINION: CSeries deal presents wider opportunity      \nhttps://t.co/tdRVzMRYE3 https://t.co/g7JK9WIVxs',"Leguevin, France"
91,Angelus1701,2017-12-08,IFTTT,0,0,1,"b'New post: ""\nOPINION: CSeries deal presents wider opportunity     "" \nhttps://t.co/M4ljO5GHgx'",Miami
142,PlaneSpotIsCool,2017-12-08,PlaneSpotterRetweet,0,4,1,b'RT @sylvainfaust: #FACC Wins Additional Order for #Bombardier #CSeries.   #avgeek #aviation #austria #leonardo #aerospace #europe #airbus #\xe2\x80\xa6',Worldwide
142,AirplaneGuy2013,2017-12-08,Twitter Web Client,0,1,1,b'RT @TheAviationBeat: Aeromexico holds talks to take delivery of Delta ordered Bombardier CSeries. Would be a great aircraft to compliment/r\xe2\x80\xa6',Flight Operations Center
142,AirplaneGuy2013,2017-12-08,Twitter Web Client,0,3,1,b'RT @jenkspl64: #Boeing comical ill-fated strategy to crush the #Bombardier #CSeries backfires once more with Canada not buying $6billion of\xe2\x80\xa6',Flight Operations Center
142,AirplaneGuy2013,2017-12-08,Twitter Web Client,0,4,1,b'RT @sylvainfaust: #FACC Wins Additional Order for #Bombardier #CSeries.   #avgeek #aviation #austria #leonardo #aerospace #europe #airbus #\xe2\x80\xa6',Flight Operations Center
142,bouroux,2017-12-08,Twitter Web Client,0,3,1,b'RT @sylvainfaust: Pictures- #CSeries Update - #KoreanAir Pilots Preparing for their First CSeries Ferry.    #bombardier @FG_STrim @jonostro\xe2\x80\xa6',Montreal  Canada
