Sentence,Aspects,Polarity
Great location not so crowded and it was easy to reach Duomo Staff is pretty kind for Italy,Location ,1
Great location not so crowded and it was easy to reach Duomo Staff is pretty kind for Italy,Staff ,1
Great location not so crowded and it was easy to reach Duomo Staff is pretty kind for Italy,Surrounding ,1
Great location not so crowded and it was easy to reach Duomo Staff is pretty kind for Italy,Facility ,1
I was in the hotel with my mum for two nights and we enjoyed the place a lot Breakfasts were delicious and there were plenty of food to choose from yoghurts pastry vegetables eggs cheese ham etc The staff was very helpful and kind The neighborhood was nice as well and it was easy to get to the city center by tram or metro Our room was clean all the appliances were working there was really nothing to complain about,Meal ,1
I was in the hotel with my mum for two nights and we enjoyed the place a lot Breakfasts were delicious and there were plenty of food to choose from yoghurts pastry vegetables eggs cheese ham etc The staff was very helpful and kind The neighborhood was nice as well and it was easy to get to the city center by tram or metro Our room was clean all the appliances were working there was really nothing to complain about,Room ,1
I was in the hotel with my mum for two nights and we enjoyed the place a lot Breakfasts were delicious and there were plenty of food to choose from yoghurts pastry vegetables eggs cheese ham etc The staff was very helpful and kind The neighborhood was nice as well and it was easy to get to the city center by tram or metro Our room was clean all the appliances were working there was really nothing to complain about,Service ,1
I was in the hotel with my mum for two nights and we enjoyed the place a lot Breakfasts were delicious and there were plenty of food to choose from yoghurts pastry vegetables eggs cheese ham etc The staff was very helpful and kind The neighborhood was nice as well and it was easy to get to the city center by tram or metro Our room was clean all the appliances were working there was really nothing to complain about,Staff ,1
The breakfast was delicious Plenty of variety on offer Was close to public transport Managed to find our way around Milan quite easily Staff were very helpful,Meal ,1
The breakfast was delicious Plenty of variety on offer Was close to public transport Managed to find our way around Milan quite easily Staff were very helpful,Staff ,1
The staff was extremely helpful and positive Large and comfortable rooms Very good breakfast Perfect value for money,Value ,1
The staff was extremely helpful and positive Large and comfortable rooms Very good breakfast Perfect value for money,Meal ,1
The staff was extremely helpful and positive Large and comfortable rooms Very good breakfast Perfect value for money,Staff ,1
The staff was extremely helpful and positive Large and comfortable rooms Very good breakfast Perfect value for money,Service ,1
The cleanless in the room We stayed at room 506 with balkony for 3 nights We asked through Booking com at the reservation time and early check in as we are smokers with my husband We got them both to give us more comfortable stay We had daily cleaning the lady were fantastic to us there was no complaints about it at all The breakfast was absolutely more than enough to start with the big walking around in the City for a long day The temperature were ok we could manage to use easily the air con The reception staff were very helpful specialy the lady with dark hair around mid age were a Pro There was no big and silly question what she couldn t aswer to us We felt like she read our mind and that s what we felt like secure We got all info about the trains dawn to Como Lake the shopping opening times etc We asked for blankets and iron board and there were in the room in no time The scene of the liquid soap in the room were nice the bathroom amenities avarage however as we used them on the daliy basis for the shower there were always replaced with the new bottle at the cleaning time which were an advantage as we didnt take any shower gel with us thinking that we should have them in the bathroom The blind on the window were very helpful as the sun came in early but it wasnt a case as we could sleep in the dark All above we would deffiniatelly come back when we return to Milano for short stay,Room ,0
The cleanless in the room We stayed at room 506 with balkony for 3 nights We asked through Booking com at the reservation time and early check in as we are smokers with my husband We got them both to give us more comfortable stay We had daily cleaning the lady were fantastic to us there was no complaints about it at all The breakfast was absolutely more than enough to start with the big walking around in the City for a long day The temperature were ok we could manage to use easily the air con The reception staff were very helpful specialy the lady with dark hair around mid age were a Pro There was no big and silly question what she couldn t aswer to us We felt like she read our mind and that s what we felt like secure We got all info about the trains dawn to Como Lake the shopping opening times etc We asked for blankets and iron board and there were in the room in no time The scene of the liquid soap in the room were nice the bathroom amenities avarage however as we used them on the daliy basis for the shower there were always replaced with the new bottle at the cleaning time which were an advantage as we didnt take any shower gel with us thinking that we should have them in the bathroom The blind on the window were very helpful as the sun came in early but it wasnt a case as we could sleep in the dark All above we would deffiniatelly come back when we return to Milano for short stay,Service ,0
The cleanless in the room We stayed at room 506 with balkony for 3 nights We asked through Booking com at the reservation time and early check in as we are smokers with my husband We got them both to give us more comfortable stay We had daily cleaning the lady were fantastic to us there was no complaints about it at all The breakfast was absolutely more than enough to start with the big walking around in the City for a long day The temperature were ok we could manage to use easily the air con The reception staff were very helpful specialy the lady with dark hair around mid age were a Pro There was no big and silly question what she couldn t aswer to us We felt like she read our mind and that s what we felt like secure We got all info about the trains dawn to Como Lake the shopping opening times etc We asked for blankets and iron board and there were in the room in no time The scene of the liquid soap in the room were nice the bathroom amenities avarage however as we used them on the daliy basis for the shower there were always replaced with the new bottle at the cleaning time which were an advantage as we didnt take any shower gel with us thinking that we should have them in the bathroom The blind on the window were very helpful as the sun came in early but it wasnt a case as we could sleep in the dark All above we would deffiniatelly come back when we return to Milano for short stay,Value ,0
The cleanless in the room We stayed at room 506 with balkony for 3 nights We asked through Booking com at the reservation time and early check in as we are smokers with my husband We got them both to give us more comfortable stay We had daily cleaning the lady were fantastic to us there was no complaints about it at all The breakfast was absolutely more than enough to start with the big walking around in the City for a long day The temperature were ok we could manage to use easily the air con The reception staff were very helpful specialy the lady with dark hair around mid age were a Pro There was no big and silly question what she couldn t aswer to us We felt like she read our mind and that s what we felt like secure We got all info about the trains dawn to Como Lake the shopping opening times etc We asked for blankets and iron board and there were in the room in no time The scene of the liquid soap in the room were nice the bathroom amenities avarage however as we used them on the daliy basis for the shower there were always replaced with the new bottle at the cleaning time which were an advantage as we didnt take any shower gel with us thinking that we should have them in the bathroom The blind on the window were very helpful as the sun came in early but it wasnt a case as we could sleep in the dark All above we would deffiniatelly come back when we return to Milano for short stay,Meal ,0
personnel was polite and nice breakfast diversified the location close to center but on a very quiet boulevard it has a big supermarket nearby,Location ,1
personnel was polite and nice breakfast diversified the location close to center but on a very quiet boulevard it has a big supermarket nearby,Meal ,1
personnel was polite and nice breakfast diversified the location close to center but on a very quiet boulevard it has a big supermarket nearby,Surrounding ,1
Good location direct tramway to the center close to metro station shuttle from Malpensa airport stops in 1km from the hotel Very friendly and handsome staff late departure was accepted city transport tickets at the reception very clean place,Location ,1
Good location direct tramway to the center close to metro station shuttle from Malpensa airport stops in 1km from the hotel Very friendly and handsome staff late departure was accepted city transport tickets at the reception very clean place,Service ,1
Good location direct tramway to the center close to metro station shuttle from Malpensa airport stops in 1km from the hotel Very friendly and handsome staff late departure was accepted city transport tickets at the reception very clean place,Facility ,1
Good location direct tramway to the center close to metro station shuttle from Malpensa airport stops in 1km from the hotel Very friendly and handsome staff late departure was accepted city transport tickets at the reception very clean place,Staff ,1
Great staff lovely breakfast great central location room overlooking the ramblas double double glazed Windows very little noise from below,Room ,1
Great staff lovely breakfast great central location room overlooking the ramblas double double glazed Windows very little noise from below,Service ,1
Great staff lovely breakfast great central location room overlooking the ramblas double double glazed Windows very little noise from below,Location ,1
Great staff lovely breakfast great central location room overlooking the ramblas double double glazed Windows very little noise from below,Staff ,1
No room service no good housekeeping no bath items standees and not complete no iron machine in the room no bill capten,Service ,0
No room service no good housekeeping no bath items standees and not complete no iron machine in the room no bill capten,Room ,0
The top pro front desk Always ready for cust,Service ,1
Very friendly staff good sized rooms and very clean Excellent location,Location ,1
Very friendly staff good sized rooms and very clean Excellent location,Staff ,1
Very friendly staff good sized rooms and very clean Excellent location,Surrounding ,1
the breakfast was beautiful,Meal ,1
The location is perfect,Location ,1
The location is perfect,Surrounding ,1
Beautiful hotel and perfect location for everything,Location ,1
Beautiful hotel and perfect location for everything,Surrounding ,1
Beautiful hotel and perfect location for everything,Value ,1
Excellent location for exploring Barcelona within walking distance to beach shops Gothic quarter 2 minutes to metro station,Location ,1
Excellent location for exploring Barcelona within walking distance to beach shops Gothic quarter 2 minutes to metro station,Facility ,1
Excellent location for exploring Barcelona within walking distance to beach shops Gothic quarter 2 minutes to metro station,Surrounding ,1
We stayed B B and the breakfast was good,Meal ,1
Location Location location perfect No complaints at all Excellent Carlos from the front desk the best,Location ,1
Location Location location perfect No complaints at all Excellent Carlos from the front desk the best,Surrounding ,1
Location Location location perfect No complaints at all Excellent Carlos from the front desk the best,Service ,1
Everything super royal stay with great breakfast buffet and location would definitely recommend this place,Meal ,1
Everything super royal stay with great breakfast buffet and location would definitely recommend this place,Location ,1
Everything super royal stay with great breakfast buffet and location would definitely recommend this place,Surrounding ,1
Everything super royal stay with great breakfast buffet and location would definitely recommend this place,Value ,1
Breakfast choice was abundant Perfect location good beds,Room ,1
Breakfast choice was abundant Perfect location good beds,Location ,1
Breakfast choice was abundant Perfect location good beds,Meal ,1
Breakfast choice was abundant Perfect location good beds,Facility ,1
Great place to stay no issues,Value ,0
the opening times of the bars rooftops and spa would have been handy in the hotel information left in the room,Service ,0
the opening times of the bars rooftops and spa would have been handy in the hotel information left in the room,Room ,0
the opening times of the bars rooftops and spa would have been handy in the hotel information left in the room,Facility ,0
the opening times of the bars rooftops and spa would have been handy in the hotel information left in the room,Value ,0
I can t fault this hotel at all but it will be nice when their Elemis consultants and services are running as they are not in place the moment but only a minor detail,Quality ,0
I can t fault this hotel at all but it will be nice when their Elemis consultants and services are running as they are not in place the moment but only a minor detail,Value ,0
Left some earrings in the room which I never got back as staff couldn t find them,Room ,0
Left some earrings in the room which I never got back as staff couldn t find them,Service ,0
Left some earrings in the room which I never got back as staff couldn t find them,Staff ,0
Aviary bar service a little slow but could be explained as it was a busy Friday evening,Service ,0
Aviary bar service a little slow but could be explained as it was a busy Friday evening,Meal ,0
Aviary bar service a little slow but could be explained as it was a busy Friday evening,Value ,0
Aviary bar service a little slow but could be explained as it was a busy Friday evening,Location ,0
Housekeeping knocked twice before check out time and woke me up twice,Value ,0
The are some spots which need more attention while cleaning the room as for five star hotel there are places to improve,Room ,0
The are some spots which need more attention while cleaning the room as for five star hotel there are places to improve,Service ,0
The are some spots which need more attention while cleaning the room as for five star hotel there are places to improve,Value ,0
My second visit to this hotel and everything about it was great Staff excellent and eager to help Room and facilities excellent Would always use this hotel on visits to London now,Room ,1
My second visit to this hotel and everything about it was great Staff excellent and eager to help Room and facilities excellent Would always use this hotel on visits to London now,Service ,1
My second visit to this hotel and everything about it was great Staff excellent and eager to help Room and facilities excellent Would always use this hotel on visits to London now,Facility ,1
My second visit to this hotel and everything about it was great Staff excellent and eager to help Room and facilities excellent Would always use this hotel on visits to London now,Staff ,1
Excellent Service and very smart looking hotel and handy location excellent spa and bars,Service ,1
Excellent Service and very smart looking hotel and handy location excellent spa and bars,Facility ,1
Excellent Service and very smart looking hotel and handy location excellent spa and bars,Location ,1
Excellent Service and very smart looking hotel and handy location excellent spa and bars,Surrounding ,1
The room is clean and comfortable It is a comfortable bed The shower is nice though not very powerful,Room ,1
The room is clean and comfortable It is a comfortable bed The shower is nice though not very powerful,Facility ,1
The room is clean and comfortable It is a comfortable bed The shower is nice though not very powerful,Service ,1
Location close to the tube station The room was spacious and the bed was amazing I particularly liked the tablet that allowed us to control the heating and lights The hotel offers a smartphone with internet access for use during the stay The staff was kind and helpful I will definitely stay here again,Room ,1
Location close to the tube station The room was spacious and the bed was amazing I particularly liked the tablet that allowed us to control the heating and lights The hotel offers a smartphone with internet access for use during the stay The staff was kind and helpful I will definitely stay here again,Service ,1
Location close to the tube station The room was spacious and the bed was amazing I particularly liked the tablet that allowed us to control the heating and lights The hotel offers a smartphone with internet access for use during the stay The staff was kind and helpful I will definitely stay here again,Location ,1
Location close to the tube station The room was spacious and the bed was amazing I particularly liked the tablet that allowed us to control the heating and lights The hotel offers a smartphone with internet access for use during the stay The staff was kind and helpful I will definitely stay here again,Facility ,1
Everything it was our wedding weekend and the hotel could not have done more for us Outstanding,Value ,1
Room was a lovely size and very comfortable Great ensuite too Went to the Modern Pantry restaurant very close to hotel for breakfast absolutely delicious,Service ,1
Room was a lovely size and very comfortable Great ensuite too Went to the Modern Pantry restaurant very close to hotel for breakfast absolutely delicious,Room ,1
Room was a lovely size and very comfortable Great ensuite too Went to the Modern Pantry restaurant very close to hotel for breakfast absolutely delicious,Meal ,1
Room was a lovely size and very comfortable Great ensuite too Went to the Modern Pantry restaurant very close to hotel for breakfast absolutely delicious,Surrounding ,1
very good hotel nice people and service good breakfast helpful in everything and for everything nice location in the finance part of london close to few metro station,Location ,1
very good hotel nice people and service good breakfast helpful in everything and for everything nice location in the finance part of london close to few metro station,Service ,1
very good hotel nice people and service good breakfast helpful in everything and for everything nice location in the finance part of london close to few metro station,Meal ,1
very good hotel nice people and service good breakfast helpful in everything and for everything nice location in the finance part of london close to few metro station,Facility ,1
Very clean Receptionist were helpful Restaurant staff need more training,Staff ,1
Very friendly staff Lovely roof top bar,Service ,1
Very friendly staff Lovely roof top bar,Staff ,1
Very friendly staff Lovely roof top bar,Meal ,1
Very friendly staff Lovely roof top bar,Room ,1
The hotel was very modern with high tec facilities but it was the staff that made my visit incredible Nothing was too much for them They had put gifts in my room for my special event which involved a great amount of thought and research on their part The spa was gorgeous lovely pool and Jacuzzi I can t recommend this hotel highly enough in fact I have booked to go again I wouldn t use any other hotel now when I visit London,Facility ,1
The hotel was very modern with high tec facilities but it was the staff that made my visit incredible Nothing was too much for them They had put gifts in my room for my special event which involved a great amount of thought and research on their part The spa was gorgeous lovely pool and Jacuzzi I can t recommend this hotel highly enough in fact I have booked to go again I wouldn t use any other hotel now when I visit London,Service ,1
The hotel was very modern with high tec facilities but it was the staff that made my visit incredible Nothing was too much for them They had put gifts in my room for my special event which involved a great amount of thought and research on their part The spa was gorgeous lovely pool and Jacuzzi I can t recommend this hotel highly enough in fact I have booked to go again I wouldn t use any other hotel now when I visit London,Room ,1
The hotel was very modern with high tec facilities but it was the staff that made my visit incredible Nothing was too much for them They had put gifts in my room for my special event which involved a great amount of thought and research on their part The spa was gorgeous lovely pool and Jacuzzi I can t recommend this hotel highly enough in fact I have booked to go again I wouldn t use any other hotel now when I visit London,Value ,1
Amazing welcome helpful and friendly staff great food in the rooftop restaurant with brilliant views room was massive lovely shower robe umbrella slippers swimming pool steam room sauna this hotel is second to non an experience like no other fully stocked mini bar,Service ,1
Amazing welcome helpful and friendly staff great food in the rooftop restaurant with brilliant views room was massive lovely shower robe umbrella slippers swimming pool steam room sauna this hotel is second to non an experience like no other fully stocked mini bar,Room ,1
Amazing welcome helpful and friendly staff great food in the rooftop restaurant with brilliant views room was massive lovely shower robe umbrella slippers swimming pool steam room sauna this hotel is second to non an experience like no other fully stocked mini bar,Meal ,1
Amazing welcome helpful and friendly staff great food in the rooftop restaurant with brilliant views room was massive lovely shower robe umbrella slippers swimming pool steam room sauna this hotel is second to non an experience like no other fully stocked mini bar,Facility ,1
The Handy smartphone you re given to use for the duration of your stay which allows you to have 3G on the go as well as being able to use it as a phone while staying in London to make any necessary calls without roaming charges was definitely a great addition which really helped us to get around As well as this the spa facilities are excellent,Facility ,1
The Handy smartphone you re given to use for the duration of your stay which allows you to have 3G on the go as well as being able to use it as a phone while staying in London to make any necessary calls without roaming charges was definitely a great addition which really helped us to get around As well as this the spa facilities are excellent,Service ,1
The Handy smartphone you re given to use for the duration of your stay which allows you to have 3G on the go as well as being able to use it as a phone while staying in London to make any necessary calls without roaming charges was definitely a great addition which really helped us to get around As well as this the spa facilities are excellent,Value ,1
We were on a short break in London so only stayed here for two nights but will hopefully come back for longer next time We couldn t fault the accommodation as it was spotlessly clean and comfortable The staff also were very friendly and helpful,Staff ,1
We were on a short break in London so only stayed here for two nights but will hopefully come back for longer next time We couldn t fault the accommodation as it was spotlessly clean and comfortable The staff also were very friendly and helpful,Value ,1
We were on a short break in London so only stayed here for two nights but will hopefully come back for longer next time We couldn t fault the accommodation as it was spotlessly clean and comfortable The staff also were very friendly and helpful,Quality ,1
Bathroom party size and you feel you are floating in the bed cool hotel 3 tubes close Liverpool st takes you from soho to stansted great connection,Room ,1
Bathroom party size and you feel you are floating in the bed cool hotel 3 tubes close Liverpool st takes you from soho to stansted great connection,Service ,1
Bathroom party size and you feel you are floating in the bed cool hotel 3 tubes close Liverpool st takes you from soho to stansted great connection,Value ,1
The location was good especially for anyone flying in via Stansted airport or anyone travelling via Liverpool Street The bed was very comfy I especially loved that they provided a cellphone with unlimited data local calls and etc As to the hotel it is very new so that might be why but I found the staff though friendly and helpful to be quite inexperienced and slightly awkward at times,Location ,1
The location was good especially for anyone flying in via Stansted airport or anyone travelling via Liverpool Street The bed was very comfy I especially loved that they provided a cellphone with unlimited data local calls and etc As to the hotel it is very new so that might be why but I found the staff though friendly and helpful to be quite inexperienced and slightly awkward at times,Room ,1
The location was good especially for anyone flying in via Stansted airport or anyone travelling via Liverpool Street The bed was very comfy I especially loved that they provided a cellphone with unlimited data local calls and etc As to the hotel it is very new so that might be why but I found the staff though friendly and helpful to be quite inexperienced and slightly awkward at times,Facility ,1
The location was good especially for anyone flying in via Stansted airport or anyone travelling via Liverpool Street The bed was very comfy I especially loved that they provided a cellphone with unlimited data local calls and etc As to the hotel it is very new so that might be why but I found the staff though friendly and helpful to be quite inexperienced and slightly awkward at times,Staff ,1
Fab location excellent staff and loved the hotel just a pity we didn t have time to try the new spa facilities,Facility ,1
Fab location excellent staff and loved the hotel just a pity we didn t have time to try the new spa facilities,Service ,1
Fab location excellent staff and loved the hotel just a pity we didn t have time to try the new spa facilities,Location ,1
Fab location excellent staff and loved the hotel just a pity we didn t have time to try the new spa facilities,Value ,1
Roof top bar was lovely,Service ,1
Roof top bar was lovely,Meal ,1
Roof top bar was lovely,Room ,1
Exceptional level Of staff welcome,Staff ,1
Everything the Service the rooftop bar I was upgraded to a junior suite the price everything,Service ,1
Everything the Service the rooftop bar I was upgraded to a junior suite the price everything,Value ,1
Everything the Service the rooftop bar I was upgraded to a junior suite the price everything,Meal ,1
Everything the Service the rooftop bar I was upgraded to a junior suite the price everything,Room ,1
More of a boutique feel with easy walking to food and sites,Meal ,1
More of a boutique feel with easy walking to food and sites,Facility ,1
Central location High accommodation standard,Location ,1
Central location High accommodation standard,Room ,1
Central location High accommodation standard,Surrounding ,1
Central location High accommodation standard,Service ,1
Refurbished clean rooms light and space,Room ,1
Refurbished clean rooms light and space,Facility ,1
The location the lobby,Location ,1
The location the lobby,Facility ,1
The location the lobby,Surrounding ,1
The staff was specially kind Even though I arrived there very early they can allow me to take a rest in the room,Room ,1
The staff was specially kind Even though I arrived there very early they can allow me to take a rest in the room,Service ,1
The staff was specially kind Even though I arrived there very early they can allow me to take a rest in the room,Staff ,1
What a great hotel Fantastic location Super staff The largest room we have ever stayed in while in Paris Fantastic,Room ,1
What a great hotel Fantastic location Super staff The largest room we have ever stayed in while in Paris Fantastic,Service ,1
What a great hotel Fantastic location Super staff The largest room we have ever stayed in while in Paris Fantastic,Location ,1
What a great hotel Fantastic location Super staff The largest room we have ever stayed in while in Paris Fantastic,Staff ,1
The location is very convenient and hotel staffs are well trained with welcome smiles,Location ,1
The location is very convenient and hotel staffs are well trained with welcome smiles,Staff ,1
The location is very convenient and hotel staffs are well trained with welcome smiles,Surrounding ,1
The location is very convenient and hotel staffs are well trained with welcome smiles,Value ,1
The location of the hotel is very conveninet and safe,Location ,1
The location of the hotel is very conveninet and safe,Surrounding ,1
The location of the hotel is very conveninet and safe,Value ,1
Quiet location walk to shops and restaurants Staff were helpful,Service ,1
Quiet location walk to shops and restaurants Staff were helpful,Location ,1
Quiet location walk to shops and restaurants Staff were helpful,Surrounding ,1
Quiet location walk to shops and restaurants Staff were helpful,Staff ,1
Nice bathroom loved the balcony,Room ,1
Nice bathroom loved the balcony,Staff ,1
Would be nice if they advertise photo rooms from this hotel,Value ,0
The staff at breakfast were not as helpful as they could be We came down to breakfast at 8 30 it finished at 10 30 and everything was on on offer but as it got busy food ran out and you had to ask for food to be restocked replenished bacon croissants orange juice pancakes etc Which was done eventually but Only what you asked for which meant lots of empty plates therefore less choice for later guests,Meal ,0
The staff at breakfast were not as helpful as they could be We came down to breakfast at 8 30 it finished at 10 30 and everything was on on offer but as it got busy food ran out and you had to ask for food to be restocked replenished bacon croissants orange juice pancakes etc Which was done eventually but Only what you asked for which meant lots of empty plates therefore less choice for later guests,Staff ,0
No computers available I had to move room because I checked in and Wi Fi was not working and later TV also I had to move rooms and the new one was quite old as was the last floor,Room ,0
No computers available I had to move room because I checked in and Wi Fi was not working and later TV also I had to move rooms and the new one was quite old as was the last floor,Service ,0
Some noise at night from trains under hotel not a huge issue but worth noting as some people may find it annoying Also restaurants and bars around hotel are quite expensive as you are on the champs Elyse Worth going a bit further out and finding greater value for money,Value ,0
Some noise at night from trains under hotel not a huge issue but worth noting as some people may find it annoying Also restaurants and bars around hotel are quite expensive as you are on the champs Elyse Worth going a bit further out and finding greater value for money,Service ,0
Some noise at night from trains under hotel not a huge issue but worth noting as some people may find it annoying Also restaurants and bars around hotel are quite expensive as you are on the champs Elyse Worth going a bit further out and finding greater value for money,Meal ,0
Some noise at night from trains under hotel not a huge issue but worth noting as some people may find it annoying Also restaurants and bars around hotel are quite expensive as you are on the champs Elyse Worth going a bit further out and finding greater value for money,Surrounding ,0
Most of the reception staff weren t that friendly rooms in the sixth floor most of them they have split bathtubs than the toilet We had to ask twice to change the room and they kept saying that we are fully booked and they didn t change it until we told them that the next guest was really noisy and we weren t able to sleep they changed the room and it was the same in regard to the bathroom rooms aren t soundproof you can hear even the housekeepers chatting early morning by the door of the room We removed everything from the mini bar but they kept filling the fridge which is not nice that they were checking the fridge though we notified them that we ve removed everything and placed them on the drawer,Room ,0
Most of the reception staff weren t that friendly rooms in the sixth floor most of them they have split bathtubs than the toilet We had to ask twice to change the room and they kept saying that we are fully booked and they didn t change it until we told them that the next guest was really noisy and we weren t able to sleep they changed the room and it was the same in regard to the bathroom rooms aren t soundproof you can hear even the housekeepers chatting early morning by the door of the room We removed everything from the mini bar but they kept filling the fridge which is not nice that they were checking the fridge though we notified them that we ve removed everything and placed them on the drawer,Service ,0
Most of the reception staff weren t that friendly rooms in the sixth floor most of them they have split bathtubs than the toilet We had to ask twice to change the room and they kept saying that we are fully booked and they didn t change it until we told them that the next guest was really noisy and we weren t able to sleep they changed the room and it was the same in regard to the bathroom rooms aren t soundproof you can hear even the housekeepers chatting early morning by the door of the room We removed everything from the mini bar but they kept filling the fridge which is not nice that they were checking the fridge though we notified them that we ve removed everything and placed them on the drawer,Meal ,0
Most of the reception staff weren t that friendly rooms in the sixth floor most of them they have split bathtubs than the toilet We had to ask twice to change the room and they kept saying that we are fully booked and they didn t change it until we told them that the next guest was really noisy and we weren t able to sleep they changed the room and it was the same in regard to the bathroom rooms aren t soundproof you can hear even the housekeepers chatting early morning by the door of the room We removed everything from the mini bar but they kept filling the fridge which is not nice that they were checking the fridge though we notified them that we ve removed everything and placed them on the drawer,Staff ,0
